NCT ID,Title,Phase,Drug Names,Modality,Target,Indication,Status,Sponsor,Start Date,Primary Completion,Milestone,Probability,Phase_Num,Modality_Code,ML_Prediction,Phase Weight
NCT05747157,Safety and Efficacy of Metabolically Armed CD19 CAR-T Cells (Meta10- 19) in the Treatment of r/r B-ALL Clinical Research,EARLY_PHASE1,Metabolically Armed CD19 CAR-T cells,CAR-T,CD19,Leukemia,UNKNOWN,Anhui Provincial Hospital,2023-02-15,2025-02-01,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT03441555,A Study of Venetoclax and Alvocidib in Patients With Relapsed/Refractory Acute Myeloid Leukemia,PHASE1,"Venetoclax, Alvocidib",Other,Unknown,Leukemia,COMPLETED,AbbVie,2018-05-30,2021-01-25,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT03662815,Clinical Study of a Personalized Neoantigen Cancer Vaccine in Treating Patients With Advanced Malignant Tumor,PHASE1,,Other,Unknown,Solid Tumor,UNKNOWN,Sir Run Run Shaw Hospital,2018-02-07,2021-05-20,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT00242515,T-cell Depleted Donor Lymphocyte Infusion (DLI)for Acute Myeloid Leukemia (AML) or High Risk Myelodysplastic Syndrome (MDS),"PHASE1, PHASE2",,Other,Unknown,Leukemia,UNKNOWN,"National University Hospital, Singapore",2005-03,,Unknown,0.3,1.0,3,0.15123598159865156,3
NCT03221335,EUS-guided RFA for Solid Abdominal Neoplasms,NA,,Other,Unknown,Other,UNKNOWN,Chinese University of Hong Kong,2016-05,2024-04,Long-term,0.05,,3,0.07471722255609645,1
NCT01501708,Caspofungin Based Combined Anti-fungal Therapy for Proven or Probable Invasive Fungal Infection,PHASE2,Caspofugin based combination therapy,Other,Unknown,Leukemia,UNKNOWN,Shanghai Jiao Tong University School of Medicine,2011-12,2017-06,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT02398240,Brentuximab for Newly Diagnosed Hodgkin Disease,PHASE2,"Brentuximab Vedotin, Doxorubicin, Vincristine, Rituximab",Other,Unknown,Lymphoma,COMPLETED,Mitchell Cairo,2015-05,2022-06,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT03268889,"Chidamide With CHOP Regimen for de Novo PTCL Patients (CHOP: Cyclophosphamide, Etoposide, Vincristine and Prednisone; PTCL: Peripheral T Cell Lymphoma)",NA,Chidamide,Other,Unknown,Lymphoma,UNKNOWN,The First Affiliated Hospital of Soochow University,2017-06-15,2020-06-15,Long-term,0.05,,3,0.07471722255609645,1
NCT02502968,BL-8040 Addition to Consolidation Therapy in AML Patients,PHASE2,"Cytarabine, BL-8040, Placebo (for BL-8040)",Other,Unknown,Leukemia,UNKNOWN,Dr. Petra Tschanter,2015-09,2018-07,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT00005590,Levofloxacin to Prevent Infection Following Chemotherapy in Treating Patients With Solid Tumors or Lymphoma,PHASE3,levofloxacin,Other,Unknown,Lymphoma,COMPLETED,Cancer Research Campaign Clinical Trials Centre,1999-08,,Unknown,0.6,3.0,3,0.600000000000001,5
NCT01471210,"Safety, Tolerability, Pharmacokinetics, and Immunoregulatory Study of Urelumab (BMS-663513) in Subjects With Advanced and/or Metastatic Solid Tumors and Relapsed/Refractory B-cell Non-Hodgkin's Lymphoma",PHASE1,Urelumab (BMS-663513),Other,Unknown,Lymphoma,COMPLETED,Bristol-Myers Squibb,2012-02,2016-04,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT00095160,Safety Study of an Immune Response Modifier in Patients With Refractory Solid Organ Tumors,PHASE1,852A,Other,Unknown,Solid Tumor,COMPLETED,"Masonic Cancer Center, University of Minnesota",2003-10,2006-01,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT02553460,Total Therapy for Infants With Acute Lymphoblastic Leukemia (ALL) I,"PHASE1, PHASE2","ITMHA, Dexamethasone, Mitoxantrone, Pegaspargase, Asparaginase Erwinia Chrysanthemi, Bortezomib, Vorinostat, Cyclophosphamide, Mercaptopurine, Methotrexate, Leucovorin Calcium, Cytarabine, Etoposide, Vincristine",Other,Unknown,Leukemia,ACTIVE_NOT_RECRUITING,St. Jude Children's Research Hospital,2016-01-29,2022-05-10,Long-term,0.3,1.0,3,0.15123598159865156,3
NCT00996060,Use of Hydralazine and Valproic Acid in Advanced Solid Tumor Malignancies,PHASE1,"Hydralazine and Valproic Acid: Cohort -1, Hydralazine and Valproic Acid: Cohort 0, Hydralazine and Valproic Acid: Cohort 1, Hydralazine and Valproic Acid: Cohort 2, Hydralazine and Valproic Acid: Cohort 3, Hydralazine and Valproic Acid: Cohort 4, Hydralazine and Valproic Acid: Cohort 5",Other,Unknown,Solid Tumor,COMPLETED,New Mexico Cancer Research Alliance,2008-07,2012-12,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT00412360,Single vs Double Umbilical Cord Blood Transplants in Children With High Risk Leukemia and Myelodysplasia (BMT CTN 0501),PHASE3,"Cyclophosphamide, Fludarabine, Cyclosporine A, Mycophenolate Mofetil",Other,Unknown,Lymphoma,COMPLETED,Medical College of Wisconsin,2006-12,2014-03,Long-term,0.6,3.0,3,0.600000000000001,5
NCT06316960,Safety and Efficacy of Avapritinib in Relapsed or Refractory Pediatric CBF-AML With KIT Mutation,PHASE2,"Avapritinib, Azacitidine Injection, Decitabine Injection, Idarubicin Hydrochloride, Cytarabine, Granulocyte Colony-Stimulating Factor",Other,Unknown,Leukemia,RECRUITING,Children's Hospital of Soochow University,2024-03-01,2026-03,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT06825455,Allogeneic B7H3 CAR-γδT Cell Therapy for Advanced Solid Tumors,EARLY_PHASE1,"Fludarabine, Cyclophosphamide",CAR-T,Unknown,Solid Tumor,NOT_YET_RECRUITING,Peking University,2025-03-01,2027-12-31,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT04632108,"A 1/2 Phase Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Antitumor Activity of ASKB589 in Patients With Locally Advanced or Metastatic Solid Tumors","PHASE1, PHASE2",ASKB589 Injection,Other,Unknown,Solid Tumor,ACTIVE_NOT_RECRUITING,"Jiangsu Aosaikang Pharmaceutical Co., Ltd.",2021-01-28,2025-10-31,Long-term,0.3,1.0,3,0.15123598159865156,3
NCT03744676,A Safety Trial of Lisocabtagene Maraleucel (JCAR017) for Relapsed and Refractory (R/R) B-cell Non-Hodgkin Lymphoma (NHL) in the Outpatient Setting (TRANSCEND-OUTREACH-007),PHASE2,,CAR-T,Unknown,Lymphoma,COMPLETED,"Juno Therapeutics, a Subsidiary of Celgene",2018-11-29,2023-09-22,Long-term,0.3,2.0,2,0.3111600000396263,3
NCT00006340,Ganciclovir Plus Arginine Butyrate in Treating Patients With Cancer or Lymphoproliferative Disorders Associated With the Epstein Barr Virus,PHASE1,"arginine butyrate, ganciclovir",Other,Unknown,Lymphoma,COMPLETED,Boston Medical Center,1994-12,2000-07,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT00004889,Rituximab in Treating Patients With Waldenstrom's Macroglobulinemia,PHASE2,,Other,Unknown,Lymphoma,COMPLETED,Jonsson Comprehensive Cancer Center,1999-12,2002-01,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT07324889,"An Open-label, Single-arm, Prospective, Multicenter, Phase I/II Clinical Study on the Safety and Efficacy of CD19/BCMA CAR-T Cell Therapy for Relapsed/Refractory Warm Antibody Autoimmune Hemolytic Anemia","PHASE1, PHASE2",CD19/BCMA CAR-T,CAR-T,"CD19, BCMA",Other,NOT_YET_RECRUITING,Yihao Wang,2026-01-31,2027-10-31,Long-term,0.3,1.0,2,0.1626669915300076,3
NCT02719691,Phase I Study of MLN0128 and MLN8237 in Patients With Advanced Solid Tumors and Metastatic Triple-negative Breast Cancer,PHASE1,"Alisertib, MLN0128",Other,Unknown,Solid Tumor,COMPLETED,"University of Colorado, Denver",2016-05-13,2020-03-18,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT02895490,Communication Training in Promoting Employment Retention Among Cancer Patients,NA,,Other,Unknown,Solid Tumor,TERMINATED,Virginia Commonwealth University,2014-01,2015-02,Long-term,0.05,,3,0.07471722255609645,1
NCT01820910,Phase II Trial of First-line Doxycycline for Ocular Adnexal Marginal Zone Lymphoma Treatment,PHASE2,Doxycycline,Other,Unknown,Lymphoma,ACTIVE_NOT_RECRUITING,International Extranodal Lymphoma Study Group (IELSG),2013-03,2016-05,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT00551460,"S0535, Gemtuzumab and Combination Chemotherapy in Treating Patients With Previously Untreated Acute Promyelocytic Leukemia",PHASE2,"arsenic trioxide, gemtuzumab ozogamicin, mercaptopurine, methotrexate, tretinoin",Other,Unknown,Leukemia,COMPLETED,SWOG Cancer Research Network,2007-11-15,2017-06-01,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT04168320,SBRT-based PArtial Tumor Irradiation of HYpoxic Segment,PHASE1,,Other,Unknown,Solid Tumor,TERMINATED,Klinikum Klagenfurt am Wörthersee,2018-10-30,2022-02-14,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT04105582,Breast Cancer Neoantigen Vaccination With Autologous Dendritic Cells,PHASE1,,Other,Unknown,Solid Tumor,COMPLETED,Universidad Nacional de Colombia,2019-08-01,2020-12-01,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT04173533,Randomised Study of Oral Azacitidine vs Placebo Maintenance in AML or MDS Patients After Allo-SCT,PHASE3,"Oral azacitidine, Matched placebo",Other,Unknown,Leukemia,ACTIVE_NOT_RECRUITING,University of Birmingham,2019-06-14,2025-04,Long-term,0.6,3.0,3,0.600000000000001,5
NCT06362252,A Study of I-DXd in Combination With Atezolizumab With or Without Carboplatin as First-Line Induction or Maintenance in Subjects With Extensive Stage-Small Cell Lung Cancer (IDeate-Lung03),"PHASE1, PHASE2","Ifinatamab deruxtecan, Atezolizumab, Carboplatin",CAR-T,Unknown,Solid Tumor,RECRUITING,Daiichi Sankyo,2024-07-22,2026-09-30,Long-term,0.3,1.0,2,0.1626669915300076,3
NCT06646952,CD147 Targeting Nanobody Probe for PET Imaging in Solid Tumors,,18F-FDG,Other,Unknown,Solid Tumor,RECRUITING,Hua Zhu,2024-12,2026-12,Long-term,0.1,,3,0.07471722255609645,1
NCT03069352,A Study of Venetoclax in Combination With Low Dose Cytarabine Versus Low Dose Cytarabine Alone in Treatment Naive Patients With Acute Myeloid Leukemia Who Are Ineligible for Intensive Chemotherapy,PHASE3,"Placebo, Venetoclax, Cytarabine",Other,Unknown,Leukemia,COMPLETED,AbbVie,2017-05-23,2019-02-15,Long-term,0.6,3.0,3,0.600000000000001,5
NCT01460238,Lipoprotein Lipase Expression in Chronic Lymphocytic Leukemia,,,Other,Unknown,Leukemia,COMPLETED,Dartmouth-Hitchcock Medical Center,2011-10,2018-05,Long-term,0.1,,3,0.07471722255609645,1
NCT04425655,Fludarabine in Combination With Daunorubicin and Cytarabine Liposome in Newly-diagnosed Acute Myeloid Leukemia.,PHASE2,"Fludarabine, Vyxeos",Other,Unknown,Leukemia,TERMINATED,"University of California, San Diego",2020-08-05,2022-07-01,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT02213926,"An Open-label, Phase 2 Study of ACP-196 (Acalabrutinib) in Subjects With Mantle Cell Lymphoma",PHASE2,ACP-196 (acalabrutinib),Other,Unknown,Lymphoma,ACTIVE_NOT_RECRUITING,Acerta Pharma BV,2015-03-02,2020-12-04,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT07003178,A Study to Evaluate the Safety and Clinical Efficacy of STR-P004,EARLY_PHASE1,STR-P004,Other,Unknown,Lymphoma,NOT_YET_RECRUITING,Starna Therapeutics,2025-06,2026-04,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT02856685,A Study of Mitoxantrone Hydrochloride Liposome Infusion,"PHASE1, PHASE2",Mitoxantrone Hydrochloride Liposome,Other,Unknown,Lymphoma,UNKNOWN,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",2016-08,2017-07,Long-term,0.3,1.0,3,0.15123598159865156,3
NCT04650178,Well-being in Cancer Patients With Neuropathy During COVID-19 Who Participated in Prior Clinical Trials,,,Other,Unknown,Solid Tumor,ACTIVE_NOT_RECRUITING,M.D. Anderson Cancer Center,2020-05-26,2027-04-30,Long-term,0.1,,3,0.07471722255609645,1
NCT07368478,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK), and Preliminary Efficacy of BC2027 in Patients With Advanced Solid Malignancies",PHASE1,BC2027 for Injection,Other,Unknown,Other,RECRUITING,"Biocity Biopharmaceutics Co., Ltd.",2025-11-24,2027-12,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT06349343,CD19/BCMA CAR-T Cell Therapy for Refractory/Moderate-to-severe Systemic Lupus Erythematosus,PHASE1,,CAR-T,"CD19, BCMA",Other,RECRUITING,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",2025-02-10,2026-01,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT00562068,"Alemtuzumab and Combination Chemotherapy in Treating Patients With Stage I, Stage II, Stage III, or Stage IV Peripheral T-Cell Lymphoma",PHASE1,"cyclophosphamide, doxorubicin hydrochloride, prednisolone, vincristine sulfate",Other,Unknown,Lymphoma,UNKNOWN,Cancer Research UK,2007-05,2009-05,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT03511391,CHEckpoint Inhibition in Combination With an Immunoboost of External Beam Radiotherapy in Solid Tumors,PHASE2,Nivolumab or Pembrolizumab or Atezolizumab,CAR-T,Unknown,Solid Tumor,COMPLETED,"University Hospital, Ghent",2018-03-09,2022-02-01,Long-term,0.3,2.0,2,0.3111600000396263,3
NCT03616574,First-in-human Study of CA102N Monotherapy and CA102N Combined With Trifluridine/Tipiracil (LONSURF) in Subjects With Advanced Solid Tumors,PHASE1,"CA102N, LONSURF",Other,Unknown,Solid Tumor,COMPLETED,"Holy Stone Healthcare Co., Ltd",2019-04-09,2022-02-08,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT04182074,Monitoring the Diagnosis and Management of Acute Leukaemia In Pregnancy Study.,,,Other,Unknown,Leukemia,COMPLETED,University of Hull,2019-11-22,2022-09-30,Long-term,0.1,,3,0.07471722255609645,1
NCT06923397,Interrupting Sedentary Time to Improve Cardiometabolic Health and Toxicity in Patients With Lymphoma Receiving Chemotherapy: The iSTAND Trial,NA,,CAR-T,Unknown,Lymphoma,RECRUITING,Dana-Farber Cancer Institute,2025-06-05,2026-11-28,Long-term,0.05,,2,0.07698823195888042,1
NCT06640413,A Study to Evaluate the Safety and Preliminary Signs of Efficacy of [177Lu]Lu-OncoFAP-23 Alone or in Combination With L19-IL2 as a Treatment of Metastatic FAP-positive Solid Tumors,PHASE1,"[177Lu]Lu-OncoFAP-23, L19IL2",Other,Unknown,Solid Tumor,RECRUITING,Philogen S.p.A.,2025-10-31,2028-05-31,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT02765620,PERCIST Criteria for Response Evaluation With Solid Tumors,,,Other,Unknown,Lymphoma,UNKNOWN,Tianjin Medical University Cancer Institute and Hospital,2016-04,2018-01,Long-term,0.1,,3,0.07471722255609645,1
NCT06517433,First-in-Human Dose Escalation Study of XMT-1536 in Cancers Likely to Express NaPi2b,PHASE1,upifitamab rilsodotin,Other,Unknown,Solid Tumor,COMPLETED,Mersana Therapeutics,2017-12-12,2021-07-09,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT05875649,A Multicenter Prospective Cohort Study Study of CLAG Regimen in Acute Myeloid Leukemia Patients With First-induction Failure,,,Other,Unknown,Leukemia,NOT_YET_RECRUITING,"Nanfang Hospital, Southern Medical University",2023-07-02,2027-08-20,Long-term,0.1,,3,0.07471722255609645,1
NCT06561048,"Soquelitinib vs Standard of Care in Participants With Relapsed/Refractory Peripheral T-cell Lymphoma Not Otherwise Specified, Follicular Helper T-cell Lymphomas, or Systemic Anaplastic Large-cell Lymphoma",PHASE3,"Soquelitinib, Belinostat, Pralatrexate",CAR-T,Unknown,Lymphoma,RECRUITING,"Corvus Pharmaceuticals, Inc.",2024-10-02,2026-11,Long-term,0.6,3.0,2,0.600000000000001,5
NCT03470285,Multiparametric MRI for Diagnosing Small Renal Tumors,NA,,Other,Unknown,Solid Tumor,COMPLETED,"University Hospital, Bordeaux",2018-11-27,2022-05-27,Long-term,0.05,,3,0.07471722255609645,1
NCT00364468,Dose Finding Study of KRN125 (Pegfilgrastim) for Treatment of Neutropenic Patients,PHASE2,pegfilgrastim,Other,Unknown,Other,COMPLETED,"Kyowa Kirin Co., Ltd.",2006-03,2008-03,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT04984668,A Phase Ib/II Study of GT90001 Combined With KN046 in Solid Tumors,"PHASE1, PHASE2","GT90001+KN046, GT90001+KN046, GT90001/KN046, GT90001+KN046, GT90001+KN046",Other,Unknown,Solid Tumor,RECRUITING,"Suzhou Kintor Pharmaceutical Inc,",2021-11-02,2025-04,Long-term,0.3,1.0,3,0.15123598159865156,3
NCT05651191,To Evaluate the Safety and Efficacy of Human CD19 Targeted DASH CAR-T Cells Injection for Subjects With R/R B-ALL,EARLY_PHASE1,Human CD19 Targeted DASH CAR-T Cells Injection,CAR-T,CD19,Leukemia,UNKNOWN,"Hrain Biotechnology Co., Ltd.",2022-10-21,2024-09-30,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT04187118,Quality of Life in Lymphoma Patients One Year Post-chemotherapy,,,Other,Unknown,Lymphoma,UNKNOWN,"University Hospital, Toulouse",2020-01-28,2025-06-01,Long-term,0.1,,3,0.07471722255609645,1
NCT02378038,PNT2258 for Treatment of Patients With Richter's Transformation (Brighton),PHASE2,PNT2258,Other,Unknown,Other,TERMINATED,Sierra Oncology LLC - a GSK company,2015-08,2016-06,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT07375355,Real-world Study of Scemblix in the Treatment of Chronic Myeloid Leukemia in China,,,Other,Unknown,Leukemia,NOT_YET_RECRUITING,Novartis Pharmaceuticals,2026-02-27,2028-12-31,Long-term,0.1,,3,0.07471722255609645,1
NCT01118026,Response-Based Therapy Assessed By PET Scan in Treating Patients With Bulky Stage I and Stage II Classical Hodgkin Lymphoma,PHASE2,"ABVD, BEACOPP",Other,Unknown,Lymphoma,COMPLETED,Alliance for Clinical Trials in Oncology,2010-09,2020-09-30,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT06792825,HM2023-43:Ph 2 Trial of Tafasitamab With Lenalidomide+Rituximab in Treatment-naive FL and MZL,PHASE2,"Tafasitamab, Rituximab, Lenalidomide",Other,Unknown,Lymphoma,RECRUITING,"Masonic Cancer Center, University of Minnesota",2025-08-07,2029-07-08,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT00478725,Part A: Radiolabel Study With GW786034 Part B: Single Dose of GW786034,PHASE1,"GW786034, oral, GW786034, IV, GW786034, radiolabeled oral",CAR-T,Unknown,Other,COMPLETED,GlaxoSmithKline,2007-07-18,2008-07-01,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT06188676,Multicenter Study of Safety and Efficacy Nivolumab at the Fixed Dose 40 mg (Nivo40) in Combination With Chemo-Immunotherapy for the Treatment of Newly Diagnosed PMBL,PHASE3,"Cyclophosphamide, Doxorubicin Hydrochloride, Etoposide Phosphate, Prednisolone, Rituximab, Vincristine Sulfate, Filgrastim, Pegfilgrastim, Nivolumab 40 mg in 4 ml Injection",Other,Unknown,Lymphoma,RECRUITING,"National Research Center for Hematology, Russia",2022-04-01,2029-04-01,Long-term,0.6,3.0,3,0.600000000000001,5
NCT00551850,"A Safety Study of an Oral EGFR Inhibitor, AV-412, Administered Three Times Weekly in Advanced Solid Tumor Patients",PHASE1,AV-412,Other,EGFR,Solid Tumor,COMPLETED,"AVEO Pharmaceuticals, Inc.",2007-10,2009-10,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT07387874,A Real-World Study of Trastuzumab Rezetecan in HER2+ Solid Tumors,,"Trastuzumab Rezetecan, Other Drugs",Other,HER2,Solid Tumor,ACTIVE_NOT_RECRUITING,Lixiaoling,2025-07-10,2027-07,Long-term,0.1,,3,0.07471722255609645,1
NCT04724018,Sacituzumab Govitecan Plus EV in Metastatic UC,"PHASE1, PHASE2","Sacituzumab Govitecan (SG), Enfortumab vedotin-ejfv (EV), Pembrolizumab",CAR-T,Unknown,Solid Tumor,RECRUITING,Dana-Farber Cancer Institute,2021-05-20,2027-02-01,Long-term,0.3,1.0,2,0.1626669915300076,3
